id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
1,Jawa Tengah,Ya,Mahasiswa,"Python, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
2,Padang,Ya,belum ada,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,1
3,Surabaya,Ya,Freelance Web Development ,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",Teman,Jawa Timur,1
4,Bandung,Ya,Konsultan Perencanaan Kota,"Python, Power BI",Upskill,LinkedIn,Jawa Barat,0
5,Yogyakarta,Tidak,Senior Barista _- Esha kopi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",Teman,DI Yogyakarta,0
6,Tangerang ,Ya,"Data & Informasi System Staff, Kementerian Desa PDT","Excel, SQL, Power BI, Tableau","Upskill, Networking",Teman,Banten,0
7,Kudus,Tidak,Admin Personalia,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
8,Boyolali,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Airflow ","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
9,Tangerang,Tidak,Senior Business Intelegence Dekoruma,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",Instagram,Banten,0
10,"Sidoarjo, Jawa Timur",Tidak,Audit - PT Jawa Berkat Indonesia,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Timur,1
11,Banyumas,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases",Cari Kerja,Instagram,Jawa Tengah,1
12,Jawa Tengah,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
13,Bekasi,Ya,-,"Excel, SQL, Python, Power BI, Tableau",Upskill,Teman,Jawa Barat,0
14,Jakarta Timur,Tidak,Warehouse - Supply Chain,"Excel, SQL, Python, Power BI","Upskill, Networking",LinkedIn,Jakarta,0
15,Padang,Tidak,ASN,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Anything","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,1
16,Cianjur,Tidak,Staff HR di salah satu Bank Swasta,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Networking",Teman,Jawa Barat,1
17,Medan,Tidak,Idle,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Utara,1
18,Gresik,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
19,Makassar,Ya,Quality System Intern,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sulawesi Selatan,1
20,"Jawa Barat,",Ya,Freshgraduated,"Excel, SQL, Power BI, Looker Studio","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
21,Bandung ,Ya,Magang - Pemerintahan (BBPMP Jabar) ,"Power BI, Looker Studio, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
22,Bekasi,Tidak,PT SOKKA TAMA FIBER,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",Instagram,Jawa Barat,0
23,Tangerang,Ya,Student ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Banten,0
24,Dumai,Tidak,Freelance,"Excel, SQL, Python, Power BI, Tableau",Upskill,LinkedIn,Riau,0
25,Dumai,Tidak,Freelance ,"Excel, SQL, Python, Power BI, Tableau",Upskill,LinkedIn,Riau,0
26,Pekanbaru,Tidak,Un employee ,"Excel, Python, Power BI","Upskill, Switch Career",LinkedIn,Riau,0
27,Depok,Ya,Politeknik Negeri Jakarta,"Excel, SQL, Python, Power BI, Looker Studio","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
28,Purworejo,Ya,-,"Excel, SQL, Python, Looker Studio","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
29,Medan,Ya,Tidak ada,"SQL, Python, Power BI, Looker Studio, Tableau",Cari Kerja,LinkedIn,Sumatera Utara,1
30,Malang,Tidak,Sales Area (Infinix Indonesia),Excel,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
31,Bekasi,Ya,Politeknik Takumi,"Excel, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
32,Jakarta ,Tidak,Phl di RS Bhayangkara Tk I Pusdokkes Polri ,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jakarta,1
33,Sumatera selatan,Tidak,PT Satria Mayangkara Service,"Excel, Looker Studio, Databases",Upskill,LinkedIn,Sumatera Selatan,0
34,Bandung,Tidak,Data operations,"Excel, SQL, Python, Databases, Tableau","Upskill, Networking",Teman,Jawa Barat,0
35,Surabaya,Tidak,Admin support - PT Garis Pertama Solusi,"SQL, Python, Power BI, Looker Studio","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
36,Jakarta,Tidak,Pegawai Swasta - Corporate Banking Relationship Manager,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Jakarta,1
37,Medan,Ya,Fresh graduate,"Excel, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Sumatera Utara,1
38,Tangerang Selatan,Ya,UIN Jakarta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
39,tangerang selatan,Tidak,finance,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Banten,0
40,Makassar,Tidak,Jobseeker,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sulawesi Selatan,1
41,Serang,Tidak,-,"Excel, SQL, Power BI, ","Cari Kerja, Upskill, Switch Career",LinkedIn,Banten,1
42,Tangerang Selatan ,Ya,mahasiswa ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
43,Malang,Tidak,Business Intelligence,"SQL, Python, Power BI, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0
44,Jambi,Tidak,Data Management PT Wirakarya Sakti,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jambi,0
45,Bekasi,Ya,Ojek Online,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
46,Gresik,Tidak,Cpns kemenag,"SQL, Python, Power BI, Looker Studio, Databases, Tableau, Data analyst spesifik dunia sosial","Upskill, Networking, Switch Career",Teman,Jawa Timur,0
47,Jakarta ,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
48,Purwokerto ,Ya,Mahasiswa ,"Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
49,Malang,Ya,Mahasiswa dan Freelance,"SQL, Python, Power BI, Looker Studio",Networking,LinkedIn,Jawa Timur,0
50,Mojokerto,Ya,Data Analyst Support - Statsme,"SQL, Python, Databases","Upskill, Networking",Teman,Jawa Timur,0
51,Tangerang ,Ya,Fresh Graduate ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Banten,1
52,Tangerang,Ya,PT Zyrexindo Mandiri Buana Tbk,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Semua Tools Data Analyst","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
53,Tangerang,Tidak,karyawan swasta ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
54,Jakarta,Ya,-,"Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jakarta,0
55,Palangkaraya Kalimantan Tengah ,Tidak,PT. Gojek Tokopedia ,SQL,"Upskill, Networking, Switch Career",LinkedIn,Kalimatan Tengah,0
56,Jawa Tengah,Ya,Mahasiswa,"Excel, SQL, Python, Tableau",Cari Kerja,Teman,Jawa Tengah,1
57,Jember,Ya,Mahasiswa semester 2,"Excel, SQL, Python, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
58,Jakarta,Tidak,Business Data Analis,"Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Jakarta,0
59,Bekasi,Tidak,Coordinator Application Development - PT Multi Kontrol Nusantara,ETL,"Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
60,Jakarta,Tidak,Data Enginner & Telkomsel,"Hadoop, Hive Server","Upskill, Networking",LinkedIn,Jakarta,0
61,Jakarta Utara,Tidak,Data Engineer & Automation reporting,Tableau,Networking,LinkedIn,Jakarta,0
62,surabaya,Tidak,data analyst pt ratna asia,"SQL, Databases, Tableau",Upskill,LinkedIn,Jawa Timur,0
63,Jakarta,Tidak,Inventory Management & Cipta Kridatama,"Excel, SQL, Power BI, Databases, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
64,Surabaya ,Ya,Universitas Teknologi Surabaya ,"Excel, SQL, Python, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Timur,1
65,Tangerang,Ya,Chemical Researchwr,"Python, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
66,Sidoarjo ,Ya,PT. Tiga Berlian Mandiri ,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
67,Surabaya,Ya,Universitas Negeri Surabaya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
68,Jakarta Selatan,Tidak,Data Engineer,"Excel, SQL, Python, Databases","Upskill, Networking",LinkedIn,Jakarta,0
69,Bandung,Tidak,Data Analyst,"SQL, Python, Power BI, Databases","Upskill, Networking",LinkedIn,Jawa Barat,0
70,Jakarta,Ya,Mahasiswa,"Excel, SQL, Python, Looker Studio, Databases","Upskill, Networking",LinkedIn,Jakarta,0
71,Bekasi,Tidak,Business development & Global Putra Internasional Group,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
72,Palangkaraya,Ya,-,"Excel, SQL, Python, Databases","Upskill, Networking",Teman,Kalimantan Tengah ,0
73,Balikpapan,Tidak,0,"Python, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Kalimantan Timur,1
74,PARINGIN,Tidak,WIRASWASTA,"Excel, SQL, Power BI, Databases","Upskill, Networking",LinkedIn,Kalimantan Selatan,0
75,Medan,Tidak,Pemerintahan,"SQL, Looker Studio",Upskill,LinkedIn,Sumatera Utara,0
76,Jakarta selatan,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Instagram,Jakarta,1
77,Bulukumba,Tidak,IRT,"Excel, SQL, Python, Power BI, Tableau",Cari Kerja,Teman,Sulawesi Selatan,1
78,Tulungagung,Ya,SCO JNE,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
79,Yogyakarta ,Ya,Wiraswasta ,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1
80,Depok,Tidak,Project Management & NTi,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
81,"Tanjung Enim, Sumatera Selatan",Tidak,Karyaean Swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Sumatera Selatan,1
82,sangatta,Tidak,"maintenance instruktur , februari pindah jabatan menjadi maintenance planner","Excel, Python, Power BI, Databases",Upskill,LinkedIn,Kalimantan Timur,0
83,Malang,Ya,Mahasiswa ,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill",LinkedIn,Jawa Timur,1
84,Jakarta Timur ,Ya,Belum bekerja ,"Excel, SQL, Python","Cari Kerja, Upskill",LinkedIn,Jakarta,1
85,Surakarta,Ya,Mahasiswa Universitas Sebelas Maret,"Excel, SQL, Python, Power BI, Tableau","Upskill, Networking",LinkedIn,Jawa Tengah,0
86,Jakarta,Tidak,Logistik,"Excel, Looker Studio, Databases",Switch Career,Instagram,Jakarta,0
87,Palembang,Tidak,Jobseeker,"SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Networking, Switch Career",Instagram,Sumatera Selatan,1
88,Lampung,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Lampung,1
89,DKI Jakarta,Ya,Technical Support - PLN ICONPLUS,"SQL, Python, Power BI, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jakarta,0
90,Kudus,Tidak,PT HWI,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
91,"Malang, Jawa Timur",Ya,Mahasiswa di UIN Maulana Malik Ibrahim Malang,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Timur,1
92,Jakarta Selatan,Ya,Magang di Kementrian Pertanian,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jakarta,1
93,Tangerang,Ya,Supply Chain Management Officer,"Excel, Python, Power BI, Databases","Upskill, Networking",Instagram,Banten,0
94,Semarang,Ya,Unnisula,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Tengah,1
95,Banyumas,Ya,Mahasiswa ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
96,Bengkulu,Tidak,-,"Excel, SQL, Python","Upskill, Switch Career",LinkedIn,Bengkulu,0
97,Tangerang,Tidak,Accounting Staff,"Excel, SQL, Python, Looker Studio","Upskill, Switch Career",LinkedIn,Banten,0
98,Lampung,Ya,Magang - KPPN Liwa,"SQL, Python, Power BI, Tableau","Cari Kerja, Upskill",LinkedIn,Lampung,1
99,Batam,Ya,-,"Excel, SQL, Python, Power BI, Tableau","Cari Kerja, Networking",Instagram,Riau,1
100,Jakarta,Tidak,RNO Engineer ,"SQL, Python, Databases, Tableau",Upskill,LinkedIn,Jakarta,0
101,Jakarta Selatan,Tidak,Data Analyst,"SQL, Power BI, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
102,Medan,Tidak,Freelance,"Excel, SQL, Tableau","Upskill, Switch Career",LinkedIn,Sumatera Utara,0
103,Makassar,Ya,Data Analyst PT. Satu Sama Jaya Abadi,"SQL, Python, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Sulawesi Selatan,1
104,Brebes,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Tengah,1
105,Kediri,Ya,Uniska,"Excel, SQL, Python, Power BI, Looker Studio, Databases, ","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Jawa Timur,1
106,JAKARTA SELATAN ,Tidak,PEGAWAI SWASTA,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
107,Jakarta selatan ,Tidak,Pegawai swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Skill komunikasi ","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
108,Yogyakarta ,Ya,UPN Veteran Yogyakarta — Mahasiswa ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1
109,Bekasi,Ya,Logistik,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
110,Bogor,Ya,belum bekerja,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
111,Padang,Ya,"Magang Kemnaker di BPS Provinsi Sumatera Barat,","SQL, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Barat,1
112,Makassar,Tidak,Pensiunan pegawai swasta ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sulawesi Selatan,1
113,Riau,Tidak,Asisten Lab & APP grup,"Excel, Power BI, Databases","Upskill, Switch Career",LinkedIn,Riau,0
114,Purwakarta,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
115,Klaten,Ya,Tutor & Genza Education,"Excel, SQL, Databases","Cari Kerja, Upskill, Networking",Teman,Jawa Tengah,1
116,Tangerang,Tidak,Sumber Alfaria Trijaya,"SQL, Python","Cari Kerja, Upskill",Teman,Banten,1
117,Malang,Ya,Universitas Brawijaya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
118,Malang,Ya,Universitas Brawijaya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Instagram,Jawa Timur,1
119,pontianak,Ya,freshgraduate,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Kalimantan Barat,0
120,pontianak,Ya,belum bekerja,"Excel, SQL, Python, Power BI, Tableau","Cari Kerja, Upskill",LinkedIn,Kalimantan Barat,1
121,Sidoarjo,Tidak,HR,"Excel, Power BI, Looker Studio, Tableau",Upskill,LinkedIn,Jawa Timur,0
122,Jakarta Utara,Tidak,Jobseeker,"Excel, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
123,Ciamis,Ya,Fresh Graduate,"Excel, SQL, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
124,Jakarta,Tidak,Jobseeker,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
125,Cilegon,Tidak,Data Analyst - Wilmar Group,"SQL, Python, Databases","Upskill, Networking",LinkedIn,Banten,0
126,Tangerang,Tidak,Internship ,"Excel, Power BI, Looker Studio","Upskill, Networking",LinkedIn,Banten,0
127,Jakarta,Tidak,Equity Research Analyst (PT Korea Investments and Sekuritas Indonesia) ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Machine learning & AI","Upskill, Networking",Teman,Jakarta,0
128,Yogyakarta,Tidak,Ibu rumah tangga,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,DI Yogyakarta,0
129,Jakarta Selatan ,Ya,Belum ada,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Networking, Switch Career",LinkedIn,Jakarta,1
130,Makassar,Ya,Universitas Negeri Makassar,"Excel, SQL, Python, Databases",Cari Kerja,Instagram,Sulawesi Selatan,1
131,Yogyakarta,Ya,Quality Assurance,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1
132,Bandung,Ya,Commercial at Paragon,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
133,Bogor,Ya,Fresh Graduate,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
134,Probolinggo ,Tidak,"Dispatch, PT Ergusa Resources ","Excel, SQL, Power BI","Upskill, Networking",LinkedIn,Jawa Timur,0
135,Grobogan,Ya,Belum bekerja,"SQL, Python","Upskill, Switch Career",LinkedIn,Jawa Tengah,0
136,Bekasi,Ya,Home Credit Indonesia - DS,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
137,Semarang,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
138,Semarang,Ya,-,"Excel, SQL, Python","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
139,Jakarta,Ya,Mahasiswa,"SQL, Python, Power BI, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
140,Bekasi Jawa Barat,Tidak,Staff Kemenhub,"Excel, SQL, Databases","Cari Kerja, Upskill, Networking, Switch Career",Teman,Belum ada mapping,1
