id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
544,Surabaya,Ya,Belum Bekerja,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
545,Kediri,Tidak,PT Sinergia,"Excel, SQL, Python, Power BI, Tableau","Networking, Switch Career",LinkedIn,Jawa Timur,0
546,Bekasi,Tidak,Asisten Agronomy & PT GoodHope,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
547,Kab. Tangerang,Ya,Fresh Graduate,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Banten,1
548,Pontianak,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Kalimantan Barat,1
549,Bengkulu,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill",LinkedIn,Bengkulu,1
550,Magetan,Ya,Fresh graduate ,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill",LinkedIn,Jawa Tengah,1
551,Bandung,Tidak,Wiraswasta,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Upskill, Networking, Switch Career",Teman,Jawa Barat,0
552,pekanbaru,Tidak,telco engineer,"Python, Power BI, Looker Studio, Tableau",Upskill,Teman,Riau,0
553,Bekasi,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
554,Medan ,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Utara,1
555,Jakarta,Tidak,Golden energy mines,"Excel, SQL, Python, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
556,Bandung,Ya,Tidak Bekerja ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
557,Jakarta,Ya,Verifikasi Jarak Tempuh TJ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jakarta,1
558,Kalimantan Tengah,Ya,Magang Kemnaker Batch II,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Kalimantan Tengah ,1
559,Blitar,Tidak,Freelance,"SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
560,Bandung ,Ya,"Mahasiswa, UIN Sunan Gunung Djati Bandung ","Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",Teman,Jawa Barat,0
561,Sidoarjo,Tidak,"CCAR & Compliance Management, PT. Bagas Bumi Persada","Excel, SQL, Power BI, Tableau","Upskill, Networking",LinkedIn,Jawa Timur,0
562,Kalimantan Selatan,Tidak,"Karyawan swasta, PT Bagas Bumi Persada",Power BI,"Cari Kerja, Upskill, Switch Career",LinkedIn,Kalimantan Selatan,1
563,Lampung,Ya,Mahasiswa,"Excel, SQL, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Lampung,1
564,Tegal,Ya,Universitas Harkat Negeri ,"Excel, SQL, Python, Databases","Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,0
565,Jakarta,Tidak,Staf Data Center,"SQL, Python, Power BI, Looker Studio, Databases, Tableau, ","Upskill, Networking, Switch Career",Instagram,Jakarta,0
566,Yogyakarta,Tidak,Freelance data reporting specialist,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Cari Kerja,LinkedIn,DI Yogyakarta,1
567,Jawa Timur,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jawa Timur,0
568,Cikarang ,Ya,Pt mkir ,"Excel, SQL, Python","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
569,Tangerang Selatan,Tidak,ASN BIG,"SQL, Python, Power BI, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Banten,0
570,Bandung,Tidak,Client Solve Mitra Solusi ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
571,Madiun,Tidak,Mahasiswa ,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
572,Aceh,Tidak,Freelance,"Excel, SQL, Databases","Upskill, Networking, Switch Career",LinkedIn,Aceh,0
573,"Cilacap, Jawa Tengah",Ya,Freelance,"Excel, SQL, Python, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
574,Karanganyar,Tidak,Wiraswasta,"Excel, SQL, Python, Power BI, R","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Tengah,1
575,Jakarta Pusat,Tidak,STIKOM PROSIA Jakarta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Networking, Switch Career",LinkedIn,Jakarta,0
576,Bekasi,Tidak,Financial Analyst ,"Excel, SQL, Python, Power BI, Tableau","Upskill, Networking",Instagram,Jawa Barat,0
577,Sukabumi,Ya,-,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
578,Yogyakarta,Ya,Mahasiswa ,"Excel, SQL, Python, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,DI Yogyakarta,1
579,Gowa,Tidak,IRT,Excel,Cari Kerja,LinkedIn,Sulawesi Selatan,1
580,Bogor,Tidak,Telekomunikasi,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
581,Kendari,Tidak,Engineer di PT. MKU,"SQL, Tableau","Upskill, Networking",LinkedIn,Sulawesi Tenggara,0
582,Surabaya,Ya,Mahasiswa,"Excel, SQL, Power BI, Databases","Cari Kerja, Upskill",LinkedIn,Jawa Timur,1
583,Tasikmalaya ,Ya,Tidak,"Excel, SQL, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
584,"Tangerang,Banten",Ya,Universitas Diponegoro,"Excel, Python, Power BI","Upskill, Networking",Teman,Banten,0
585,Mataram,Tidak,NGO,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Semua tools data analyst","Upskill, Networking",LinkedIn,Nusa Tenggara Barat,0
586,Kota Jambi,Ya,belum ada,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jambi,1
587,Samarinda,Ya,Fresh Graduate (Belum Bekerja),"Excel, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Kalimantan Timur,1
588,Tegal,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, ","Cari Kerja, Upskill",LinkedIn,Jawa Tengah,1
589,Jakarta Selatan,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
590,Jawa Timur,Tidak,Admin - CV QTA,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
591,Pekanbaru,Ya,Magang Project Planning di PT. EDUKARIR GLOBAL NUSANTARA,"Excel, SQL, Python, Databases, Tableau","Networking, Switch Career",LinkedIn,Riau,0
592,Kupang,Ya,Tidak ada,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Nusa Tenggara Timur,1
593,Lampung,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Lampung,1
594,Padang,Ya,Swasta,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,1
595,DKI Jakarta,Ya,Mahasiswa/i,Excel,Upskill,LinkedIn,Jakarta,0
596,Sidoarjo,Ya,mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, R","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Timur,1
597,Cimahi,Tidak,-,"Excel, SQL, Python, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
598,Sumatera Barat,Ya,Guru & Bimbel FJ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,1
599,Jakarta,Tidak,Teknologi,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
600,Bekasi,Tidak,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
601,Kebumen,Ya,Mahasiswa - Universitas terbuka,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
602,Bandung,Tidak,Business Intelligence Analyst,"Excel, SQL, Python, Looker Studio, Databases","Upskill, Networking",LinkedIn,Jawa Barat,0
603,Cimahi,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
604,Malang,Ya,Institut Teknologi Sepuluh Nopember,"Excel, SQL, Python, Databases, Tableau","Upskill, Networking",LinkedIn,Jawa Timur,0
605,Samarinda,Ya,belum beerja,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Kalimantan Timur,1
606,Bekasi,Ya,Universitas Indraprasta PGRI,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
607,"Pekanbaru, Riau",Tidak,ASN di Lembaga Pemerintah,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Riau,0
608,Jawa Tengah,Tidak,Teacher Coach di edtech,"Excel, SQL, Python, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
609,Jakarta Pusat,Ya,BPO,"Excel, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
610,Subang,Tidak,Administratif,"Excel, SQL, Power BI, Databases","Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,0
611,Bungo,Ya,Fresh graduate,"Excel, SQL, Python, Looker Studio, Databases, Tableau",Cari Kerja,Instagram,Jambi,1
612,Bantul,Tidak,PT Anggun kreasi garment,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,DI Yogyakarta,1
613,Palembang,Tidak,PT Mahkota Andalan Sawit,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Sumatera Selatan,1
614,Batam,Tidak,Pengangguran,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Riau,1
615,Batam,Tidak,Jobless,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Riau,1
616,Bogor,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
617,"Cianjur, Jawa Barat ",Ya,"Mahasiswa, Universitas Suryakancana","Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
618,Makassar,Tidak,Staff Administrasi - Yayasan Pondok Pesantren Ulul Albab Makassar,"Excel, Power BI",Switch Career,LinkedIn,Sulawesi Selatan,0
619,Jakarta Timur,Tidak,Jobseeker,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
620,Jakarta,Tidak,Analisis data,"Excel, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
621,Jakarta,Tidak,Analisis data /sedang tidak bekerja,"Excel, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
622,Jakarta Pusat,Tidak,"IT Support, Instansi Swasta","SQL, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
623,Kendari,Ya,Freshgraduate,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Sulawesi Tenggara,0
624,Medan,Ya,Wiraswasta,Cloud server,Upskill,LinkedIn,Sumatera Utara,0
625,Jakarta Pusat,Tidak,Karyawan swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Jakarta,0
626,Bekasi,Tidak,BI Developer,"Python, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
627,Jakarta ,Tidak,Data engineer - healt & beauty industry ,"Excel, Python, Power BI, Databases","Upskill, Networking",LinkedIn,Jakarta,0
628,Agam,Ya,Belum bekerja,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Barat,1
629,Jakarta,Ya,Data Analyst,"Python, Looker Studio, Databases","Upskill, Networking",LinkedIn,Jakarta,0
630,Surabaya ,Tidak,Staff Administrasi - Kontraktor ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
631,Pasuruan,Tidak,Karyawan BUMD,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, AI for Data Analyst","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
632,Cikarang,Ya,Pegawai Swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
633,Jakarta,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
634,Bandung,Tidak,CPNS di Kementerian ESDM,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jawa Barat,0
635,Semarang,Tidak,OSS Enggineer,"Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
636,Bengkulu ,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Bengkulu,1
637,Jawa Barat,Ya,Belum Bekerja,Excel,Upskill,LinkedIn,Jawa Barat,0
638,Bekasi,Ya,Universitas Negeri Yogyakarta,"Excel, SQL, Power BI, Databases","Cari Kerja, Networking",Teman,Jawa Barat,1
639,Yogyakarta,Tidak,Mahasiswa,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking",Teman,DI Yogyakarta,1
640,Bekasi,Tidak,Solution Specialist di SWG,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
641,Jambi,Tidak,Staff Administrasi Dinas Kehutanan Jambi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jambi,1
642,Bandung,Ya,Pekerja swasta,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Jawa Barat,0
643,Yogyakarta,Tidak,Data Analyst - ASA Indonesia,"Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,DI Yogyakarta,0
644,Jakarta,Ya,"Mahasiswa - Universitas Pembangunan Nasional ""Veteran"" Jakarta","Excel, Python, Looker Studio",Cari Kerja,LinkedIn,Jakarta,1
645,Jember,Ya,Pertanian,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
646,Jember,Ya,Rumh bertani,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
647,Blora,Ya,Merchandiser / PT Pungkook,"Excel, SQL, Power BI, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
648,Bekasi,Ya,-,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
649,Gresik,Ya,Freelance,"Excel, SQL, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Timur,1
650,Malang,Tidak,Staf Admin,"Excel, SQL, Python, Power BI, Looker Studio, Databases","Upskill, Networking",LinkedIn,Jawa Timur,0
651,Tangerang Selatan,Tidak,BRIN,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
652,Pamulang,Tidak,Mahasiswa ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
653,Balikpapan,Ya,Guru bimbel ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Kalimantan Timur,1
654,Sidoarjo,Tidak,Admin Finance,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0
655,Tangerang Selatan,Tidak,Telco,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
656,Malang,Ya,Kantor imigrasi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Jawa Timur,1
657,Jakarta,Tidak,DA Banks,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
658,"Bantul, DIY",Ya,Mahasiswi Semester 1 & Universitas Gadjah Mada ,"Excel, SQL, Python, Looker Studio, Databases","Upskill, Networking",LinkedIn,DI Yogyakarta,0
659,Bogor,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
660,Karawang,Ya,Mahasiswa,"Excel, Looker Studio","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
661,Jawa Tengah,Tidak,Policy Processing at MPM Insurance,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
662,Tangerang,Tidak,Data Engineer - PT Astra International,"Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
663,Lampung ,Ya,-,"Excel, SQL, Power BI, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Lampung,1
664,Sidoarjo,Ya,Belum Bekerja,"SQL, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
665,Belitung,Ya,Mahasiswa ,Databases,"Upskill, Networking",Instagram,Bangka  Belitung,0
666,Belitung ,Ya,Universitas Nurul Huda ,"SQL, Python",Upskill,Instagram,Bangka  Belitung,0
667,Banjarmasin,Ya,-,"Excel, SQL, Python, Looker Studio",Upskill,LinkedIn,Kalimantan Selatan,0
668,Lampung,Ya,programer,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Lampung,1
669,Pontianak ,Tidak,Swasta sebagai admin toko,"Excel, SQL, Python","Cari Kerja, Upskill",Instagram,Kalimantan Barat,1
670,Yogyakarta,Tidak,Karyawan Swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases",Upskill,Teman,DI Yogyakarta,0
671,Bogor,Ya,Tidak sedang bekerja ,"Excel, Power BI, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
672,Semarang,Tidak,Telco company,"SQL, Python, Power BI, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,0
673,"Sukabumi, Jawa Barat",Ya,Belum  Bekerja,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
674,Jakarta,Tidak,Karyawan,"Excel, Power BI, Databases",Upskill,LinkedIn,Jakarta,0
675,Jember ,Tidak,ASN di Pemerintahan Kabupaten Jember ,Excel,Upskill,Teman,Jawa Timur,0
676,Jember ,Tidak,ASN Pemerintah Kabupaten Jember ,"Excel, SQL","Upskill, Networking",Instagram,Jawa Timur,0
677,Jakarta,Ya,Mahasiswa,"Excel, SQL, Python, Looker Studio","Upskill, Networking",LinkedIn,Jakarta,0
678,Makassar,Tidak,Mining Company,"SQL, Python, Power BI, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Sulawesi Selatan,0
679,Jepara,Tidak,-,"Excel, SQL, Python, Tableau",Cari Kerja,Teman,Jawa Tengah,1
680,Lamongan,Ya,Universitas Negeri Surabaya,"Databases, Tableau","Upskill, Networking",Instagram,Jawa Timur,0
681,"Bekasi, Jawa Barat",Ya,SAP Rollout Support ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,0